id,key,value,type
12198613,county,"Honolulu, HI",tiger
,,,
12198624,highway,motorway_link,regular
,,,
12198624,maxspeed,45 mph,regular
,,,
12198624,oneway,yes,regular
,,,
12198624,cfcc,A63,tiger
,,,
12198624,county,"Honolulu, HI",tiger
,,,
12198624,reviewed,no,tiger
,,,
12198704,highway,motorway_link,regular
,,,
12198704,oneway,yes,regular
,,,
12198704,cfcc,A63; A41,tiger
,,,
12198704,county,"Honolulu, HI",tiger
,,,
12198704,name_base,Waialae,tiger
,,,
12198704,name_type,Ave,tiger
,,,
12198704,reviewed,no,tiger
,,,
12198707,highway,service,regular
,,,
12198707,service,driveway,regular
,,,
12198716,highway,residential,regular
,,,
12198716,cfcc,A41,tiger
,,,
12198716,county,"Honolulu, HI",tiger
,,,
12198716,reviewed,no,tiger
,,,
12198716,separated,no,tiger
,,,
12198716,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12198716,tlid,203260225:203260230,tiger
,,,
12198716,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12198752,access,private,regular
,,,
12198752,highway,service,regular
,,,
12198752,cfcc,A74,tiger
,,,
12198752,county,"Honolulu, HI",tiger
,,,
12198752,reviewed,no,tiger
,,,
12198752,source,tiger_import_dch_v0.6_20070809,tiger
,,,
12198752,tlid,203236636,tiger
,,,
12198752,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
,,,
12198753,highway,residential,regular
,,,
12198753,name,Old Pali Road,regular
,,,
12198753,cfcc,A41,tiger
,,,
12198753,county,"Honolulu, HI",tiger
,,,
12198753,reviewed,no,tiger
,,,
12198793,highway,service,regular
,,,
12198793,name,Hennley Street,regular
,,,
12198793,cfcc,A41,tiger
,,,
12198793,county,"Honolulu, HI",tiger
,,,
12198793,reviewed,no,tiger
,,,
12198810,highway,secondary_link,regular
,,,
12198810,oneway,yes,regular
,,,
12198816,highway,trunk_link,regular
,,,
12198816,oneway,yes,regular
,,,
12198816,cfcc,A63,tiger
,,,
12198816,county,"Honolulu, HI",tiger
,,,
12198816,reviewed,no,tiger
,,,
12198817,highway,primary_link,regular
,,,
12198817,oneway,yes,regular
,,,
12198817,cfcc,A63,tiger
,,,
12198817,county,"Honolulu, HI",tiger
,,,
12198817,reviewed,no,tiger
,,,
12198831,highway,track,regular
,,,
12198831,service,driveway,regular
,,,
12198831,tracktype,grade1,regular
,,,
12198839,highway,secondary_link,regular
,,,
12198839,oneway,yes,regular
,,,
12198839,cfcc,A63,tiger
,,,
12198839,county,"Honolulu, HI",tiger
,,,
12198839,reviewed,no,tiger
,,,
