id,key,value,type
110576718,highway,traffic_signals,regular
110576728,highway,traffic_signals,regular
110576733,highway,traffic_signals,regular
110576733,traffic_signals,signal,regular
110578223,highway,motorway_junction,regular
110578223,ref,18A,regular
110578230,highway,traffic_signals,regular
110578315,highway,motorway_junction,regular
110578315,ref,15,regular
110578366,highway,motorway_junction,regular
110578366,ref,13A,regular
110578944,highway,motorway_junction,regular
110578944,ref,8A,regular
110578967,highway,motorway_junction,regular
110578967,ref,8B,regular
110579017,highway,turning_loop,regular
110579054,highway,motorway_junction,regular
110579054,ref,2,regular
110580048,highway,motorway_junction,regular
110580048,ref,9,regular
110580296,crossing,zebra,regular
110580296,highway,crossing,regular
110580406,highway,stop,regular
110580442,highway,traffic_signals,regular
110580688,highway,turning_circle,regular
110580825,noexit,yes,regular
110580965,highway,turning_circle,regular
110581061,noexit,yes,regular
110581604,highway,turning_circle,regular
110581816,highway,turning_circle,regular
110581831,highway,turning_circle,regular
110581879,highway,turning_circle,regular
110581914,highway,turning_circle,regular
110581966,highway,turning_circle,regular
110582091,highway,traffic_signals,regular
110582095,highway,traffic_signals,regular
110582129,highway,traffic_signals,regular
110582564,highway,turning_circle,regular
110582963,highway,turning_circle,regular
110583258,highway,turning_circle,regular
110583567,highway,traffic_signals,regular
110583571,highway,traffic_signals,regular
110583574,highway,traffic_signals,regular
110583576,highway,traffic_signals,regular
110583807,barrier,gate,regular
110583881,highway,turning_circle,regular
110583889,highway,turning_circle,regular
110584160,highway,turning_circle,regular
110584182,highway,turning_circle,regular
110584203,highway,traffic_signals,regular
110584205,highway,traffic_signals,regular
110584207,highway,traffic_signals,regular
110584218,highway,turning_circle,regular
110584486,highway,turning_circle,regular
110584631,highway,traffic_signals,regular
110584768,highway,turning_circle,regular
110584981,highway,turning_circle,regular
110585385,highway,turning_circle,regular
110585407,highway,turning_circle,regular
110585526,noexit,yes,regular
110585656,highway,turning_circle,regular
110585715,highway,turning_circle,regular
110585815,highway,turning_circle,regular
110585856,highway,turning_circle,regular
110585856,source,Bing,regular
110585869,highway,turning_circle,regular
110585985,highway,turning_circle,regular
110586316,highway,traffic_signals,regular
110586328,highway,turning_circle,regular
110586336,highway,traffic_signals,regular
110586338,highway,traffic_signals,regular
110586359,highway,traffic_signals,regular
110586371,highway,traffic_signals,regular
110586377,highway,traffic_signals,regular
110586385,highway,traffic_signals,regular
110586388,highway,traffic_signals,regular
110586391,highway,traffic_signals,regular
110586395,highway,traffic_signals,regular
110586399,highway,traffic_signals,regular
110586402,highway,traffic_signals,regular
110586404,highway,traffic_signals,regular
110586407,highway,traffic_signals,regular
110586408,highway,traffic_signals,regular
110586471,highway,turning_circle,regular
110586483,highway,turning_circle,regular
110586598,highway,turning_circle,regular
110586915,noexit,yes,regular
110587154,highway,turning_loop,regular
110587297,noexit,yes,regular
110587389,highway,traffic_signals,regular
110587566,highway,traffic_signals,regular
110587600,junction,roundabout,regular
110587608,highway,traffic_signals,regular
110587615,highway,traffic_signals,regular
110587623,highway,traffic_signals,regular
110587769,highway,turning_circle,regular
110587798,highway,turning_circle,regular
110587806,highway,turning_circle,regular
110587857,highway,turning_circle,regular
110587934,noexit,yes,regular
110588284,highway,traffic_signals,regular
110588483,highway,turning_circle,regular
110588657,noexit,yes,regular
110588673,highway,traffic_signals,regular
110588856,highway,turning_circle,regular
110589151,highway,turning_circle,regular
110589645,highway,turning_circle,regular
110590150,highway,traffic_signals,regular
110590248,highway,turning_circle,regular
110590310,highway,turning_circle,regular
110590678,highway,turning_circle,regular
110591348,highway,turning_circle,regular
110591444,highway,turning_circle,regular
110591483,highway,traffic_signals,regular
110591571,highway,turning_circle,regular
110591587,highway,turning_circle,regular
110591769,highway,traffic_signals,regular
110592016,highway,turning_circle,regular
110592065,highway,turning_circle,regular
110592243,highway,turning_circle,regular
110592246,highway,turning_circle,regular
110592623,highway,traffic_signals,regular
110592625,highway,traffic_signals,regular
110593154,highway,turning_circle,regular
110593514,highway,turning_circle,regular
110593528,highway,traffic_signals,regular
110593530,highway,traffic_signals,regular
110593532,highway,traffic_signals,regular
110593535,highway,traffic_signals,regular
110593818,highway,turning_circle,regular
110593841,highway,turning_circle,regular
110593845,highway,turning_circle,regular
110593917,highway,turning_circle,regular
110594084,highway,turning_circle,regular
110594111,highway,turning_circle,regular
110594136,highway,turning_circle,regular
110594253,noexit,yes,regular
110594274,highway,turning_circle,regular
110594354,highway,turning_circle,regular
110594514,highway,turning_circle,regular
110594542,highway,turning_loop,regular
110594648,highway,turning_circle,regular
110594660,highway,turning_circle,regular
110595047,highway,traffic_signals,regular
110595134,highway,turning_circle,regular
110595207,highway,turning_circle,regular
110595349,noexit,yes,regular
110595425,highway,traffic_signals,regular
110595689,highway,turning_circle,regular
110595689,source,Yahoo,regular
110595997,highway,turning_loop,regular
110596089,highway,traffic_signals,regular
110596311,highway,turning_circle,regular
110596772,highway,turning_circle,regular
110596796,highway,traffic_signals,regular
110596868,highway,turning_circle,regular
110596887,highway,turning_circle,regular
110596935,highway,traffic_signals,regular
110597215,highway,turning_circle,regular
110597420,highway,turning_circle,regular
110597468,highway,turning_circle,regular
110597537,highway,traffic_signals,regular
110597537,traffic_signals,signal,regular
110597667,highway,turning_circle,regular
110597673,highway,traffic_signals,regular
110597872,highway,turning_circle,regular
110597898,highway,turning_circle,regular
110597901,highway,turning_circle,regular
110598036,highway,turning_circle,regular
110598041,highway,traffic_signals,regular
110599972,highway,turning_circle,regular
110600418,highway,traffic_signals,regular
110600421,highway,traffic_signals,regular
110600424,highway,traffic_signals,regular
110600427,crossing,zebra,regular
110600427,highway,crossing,regular
110600433,highway,traffic_signals,regular
110600448,highway,traffic_signals,regular
110600454,highway,traffic_signals,regular
110600457,highway,traffic_signals,regular
110600482,crossing,zebra,regular
110600482,highway,crossing,regular
110600482,kerb,flush,regular
110600482,tactile_paving,no,regular
110600486,crossing,zebra,regular
110600486,highway,crossing,regular
110600486,kerb,flush,regular
110600486,tactile_paving,no,regular
110600503,highway,traffic_signals,regular
110600847,highway,turning_circle,regular
110601178,highway,turning_circle,regular
110601514,noexit,yes,regular
110601703,highway,turning_circle,regular
110601748,highway,turning_circle,regular
110601772,highway,turning_circle,regular
110601777,highway,turning_circle,regular
110601944,highway,turning_circle,regular
110601960,highway,turning_circle,regular
110602020,highway,turning_circle,regular
110602071,highway,turning_circle,regular
110602107,highway,turning_circle,regular
110602145,highway,turning_circle,regular
110602391,highway,traffic_signals,regular
110602473,noexit,yes,regular
110602540,highway,traffic_signals,regular
110602559,highway,traffic_signals,regular
110602561,highway,traffic_signals,regular
110602564,highway,traffic_signals,regular
110602568,highway,traffic_signals,regular
110602585,highway,traffic_signals,regular
110602589,highway,traffic_signals,regular
110602671,highway,turning_circle,regular
110602839,noexit,yes,regular
110602875,highway,turning_circle,regular
110602896,highway,turning_circle,regular
110603096,noexit,yes,regular
110603169,highway,turning_circle,regular
110603479,highway,turning_circle,regular
110603560,noexit,yes,regular
110603562,noexit,yes,regular
110603587,highway,turning_circle,regular
110603783,highway,turning_circle,regular
110604165,highway,traffic_signals,regular
110604176,highway,turning_circle,regular
110604750,highway,turning_circle,regular
110604816,highway,traffic_signals,regular
110604904,highway,turning_circle,regular
110605065,noexit,yes,regular
110605779,highway,turning_circle,regular
110606167,highway,turning_circle,regular
110606296,highway,turning_circle,regular
110606315,highway,traffic_signals,regular
110606579,highway,turning_circle,regular
110606685,highway,traffic_signals,regular
110606898,highway,turning_circle,regular
110607578,highway,turning_circle,regular
110607953,noexit,yes,regular
110607996,highway,traffic_signals,regular
110608018,highway,traffic_signals,regular
110608021,highway,traffic_signals,regular
110608033,highway,traffic_signals,regular
110608039,highway,traffic_signals,regular
110608171,highway,turning_circle,regular
110608228,highway,traffic_signals,regular
110608299,highway,turning_circle,regular
110609141,highway,turning_circle,regular
110609261,highway,turning_circle,regular
110609418,highway,turning_circle,regular
110609418,source,Yahoo,regular
110609445,noexit,yes,regular
110609476,noexit,yes,regular
110609601,highway,turning_circle,regular
110609601,source,Bing,regular
110609626,highway,traffic_signals,regular
110609633,highway,traffic_signals,regular
110609792,highway,turning_circle,regular
110609871,noexit,yes,regular
110609877,highway,turning_circle,regular
110610247,highway,turning_circle,regular
110610247,source,Bing,regular
110610325,highway,turning_circle,regular
110610347,highway,traffic_signals,regular
110610347,traffic_signals,signal,regular
110610378,highway,turning_circle,regular
110610472,highway,turning_circle,regular
110610472,source,Bing,regular
110611342,noexit,yes,regular
110611406,highway,turning_circle,regular
110611643,highway,traffic_signals,regular
110612014,highway,turning_circle,regular
110612407,highway,turning_circle,regular
110612747,highway,turning_circle,regular
110612796,highway,turning_circle,regular
110613186,highway,traffic_signals,regular
110613333,highway,turning_circle,regular
110613744,highway,turning_circle,regular
110613744,source,Bing,regular
110613896,highway,turning_circle,regular
110613910,highway,traffic_signals,regular
110613910,traffic_signals,signal,regular
110614093,highway,turning_circle,regular
110614459,highway,turning_circle,regular
110614468,highway,turning_circle,regular
110614578,highway,turning_circle,regular
110614722,noexit,yes,regular
110614843,highway,traffic_signals,regular
110614986,highway,traffic_signals,regular
110615023,highway,traffic_signals,regular
110615043,highway,traffic_signals,regular
110615059,highway,traffic_signals,regular
110615070,highway,traffic_signals,regular
110615082,highway,traffic_signals,regular
110615109,highway,traffic_signals,regular
110615130,highway,turning_circle,regular
110615340,highway,turning_circle,regular
110615348,highway,turning_circle,regular
110615475,highway,turning_circle,regular
110615781,highway,turning_circle,regular
110615783,highway,turning_circle,regular
110615844,highway,traffic_signals,regular
110616327,highway,turning_circle,regular
110616336,highway,turning_circle,regular
110616455,highway,turning_circle,regular
110616725,highway,turning_circle,regular
110616756,highway,turning_circle,regular
